species;biomass;NumberAdults;TrapID;Exploratory;plot;PlotIDYear;month;year;Order;Suborder;Family;Genus;epitheton;subspecies;length;feeding_guild;LUI;replicate;Rep_ID
Errastunus ocellaris;33.6393944;15;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Errastunus;ocellaris;;3.35;h;1.82;A;AEG01-KEFAug2008A
Macrosteles laevis;111.8373988;42;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;1.82;A;AEG01-KEFAug2008A
Trigonotylus caelestialium;226.2536467;27;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Trigonotylus;caelestialium;;5.9;h;1.82;A;AEG01-KEFAug2008A
Megadelphax sordidulus;11.21460583;3;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Fulgoromorpha;Delphacidae;Megadelphax;sordidulus;;4.15;h;1.82;A;AEG01-KEFAug2008A
Neocrepidodera ferruginea;4.397949938;2;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Neocrepidodera;ferruginea;;3.25;h;1.82;A;AEG01-KEFAug2008A
Chaetocnema concinna;0.737684157;1;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Chaetocnema;concinna;;2.1;h;1.82;A;AEG01-KEFAug2008A
Polymerus unifasciatus;100.5571763;12;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;1.82;A;AEG01-KEFAug2008A
Sitona sulcifrons;2.646757662;1;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Coleoptera;Polyphaga;Curculionidae;Sitona;sulcifrons;;3.5;h;1.82;A;AEG01-KEFAug2008A
Erigone dentipalpis;1.700491952;1;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Araneae;Labidognatha;Linyphiidae;Erigone;dentipalpis;;2.33;c;1.82;A;AEG01-KEFAug2008A
Agathidium marginatum;0.876614153;1;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Coleoptera;Polyphaga;Leiodidae;Agathidium;marginatum;;2.25;f;1.82;A;AEG01-KEFAug2008A
Javesella pellucida;5.150801887;2;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Fulgoromorpha;Delphacidae;Javesella;pellucida;;3.55;h;1.82;A;AEG01-KEFAug2008A
Philaenus spumarius;74.9699072;8;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Cicadomorpha;Aphrophoridae;Philaenus;spumarius;;6.1;h;1.82;A;AEG01-KEFAug2008A
