species;biomass;count;year;plot;month;sampling;epitheton;genus;tribus;subfamily;family;order;class;length;feeding_guild;TrapID;replicate;Rep_ID
Brassicogethes aeneus;2.950736626;4;2010;B4A02;Jul;2010 main suction Jul 1 A;aeneus;Brassicogethes;NA;;Nitidulidae;Coleoptera;Insecta;2.1;herbivore;2010_B4A02_Jul;A;2010_B4A02_JulA
Javesella pellucida;196.8193496;66;2010;B4A02;Jul;2010 main suction Jul 1 B;pellucida;Javesella;NA;;Delphacidae;Hemiptera;Insecta;3.775;herbivore;2010_B4A02_Jul;A;2010_B4A02_JulA
Megadelphax sordidula;28.6321837;8;2010;B4A02;Jul;2010 main suction Jul 1 B;sordidula;Megadelphax;NA;;Delphacidae;Hemiptera;Insecta;4.075;herbivore;2010_B4A02_Jul;A;2010_B4A02_JulA
Megophthalmus scanica;1.792831263;1;2010;B4A02;Jul;2010 main suction Jul 1 B;scanica;Megophthalmus;NA;;Cicadellidae;Hemiptera;Insecta;3.05;herbivore;2010_B4A02_Jul;A;2010_B4A02_JulA
Longitarsus luridus;8.596397225;16;2010;B4A02;Jul;2010 main suction Jul 1 B;luridus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.85;herbivore;2010_B4A02_Jul;A;2010_B4A02_JulA
Aculepeira ceropegia;100.1343295;1;2010;B4A02;Jul;2010 main suction Jul 1 A;ceropegia;Aculepeira;NA;;Araneidae;Araneae;Arachnida;10.75;predator;2010_B4A02_Jul;A;2010_B4A02_JulA
Eucoilidae;0.833235715;1;2010;B4A02;Jul;2010 main suction Jul 1 A;;;NA;;Eucoilidae;Hymenoptera;Insecta;2.925;predator;2010_B4A02_Jul;A;2010_B4A02_JulA
Halticus apterus;2.45258373;2;2010;B4A02;Jul;2010 main suction Jul 1 A;apterus;Halticus;NA;;Miridae;Hemiptera;Insecta;2.625;herbivore;2010_B4A02_Jul;A;2010_B4A02_JulA
Euscelis incisus;15.54654754;5;2010;B4A02;Jul;2010 main suction Jul 1 B;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2010_B4A02_Jul;A;2010_B4A02_JulA
Eulophidae;0.096776809;1;2010;B4A02;Jul;2010 main suction Jul 1 A;;;NA;;Eulophidae;Hymenoptera;Insecta;1.5;predator;2010_B4A02_Jul;A;2010_B4A02_JulA
Longitarsus pratensis;4.85788723;13;2010;B4A02;Jul;2010 main suction Jul 1 B;pratensis;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.6;herbivore;2010_B4A02_Jul;A;2010_B4A02_JulA
Encyrtidae;0.296071456;2;2010;B4A02;Jul;2010 main suction Jul 1 B;;;NA;;Encyrtidae;Hymenoptera;Insecta;1.65;predator;2010_B4A02_Jul;A;2010_B4A02_JulA
Alysiinae;1.810951427;2;2010;B4A02;Jul;2010 main suction Jul 1 B;;;NA;Alysiinae;Braconidae;Hymenoptera;Insecta;2.95;predator;2010_B4A02_Jul;A;2010_B4A02_JulA
Lygus pratensis;10.64141951;1;2010;B4A02;Jul;2010 main suction Jul 1 B;pratensis;Lygus;NA;;Miridae;Hemiptera;Insecta;6.525;herbivore;2010_B4A02_Jul;A;2010_B4A02_JulA
